id,number,club,age,value
Ruffier,16,STE,28,0/5
Landreu,23,SCB,35,0/5
Lloris,1,TOT,28,5/5
Debuchy,2,ARS,29,4/5
Digne,17,PSG,21,1/5
Evra,3,MANU,33,4/5
Koscielny,21,ARS,29,4/5
Mangala,13,POR,23,0/5
Sagna,15,ARS,31,1/5
Sakho,5,LIV,23,4/5
Varane,4,RMA,21,5/5
Cabaye,6,NEW,28,4/5
Matuidi,14,PSG,27,5/5
Mavuba,12,LIL,30,1/5
Pogba,19,JUV,21,5/5
Schneiderlin,22,SOU,24,1/5
Sissoko,18,NEW,24,4/5
Valbuena,8,OM,28,4/5
Benzema,10,RMA,26,5/5
Cabella,7,MON,24,0/5
Giroud,9,ARS,27,5/5
Griezmann,11,RSO,23,5/5
Remy,20,QPR,27,2/5
