id,number,club,age,value
Areola,23,PSG,25,0/7
Lloris,1,TOT,31,6/7
Mandanda,16,OM,33,1/7
Hernandez,21,ATM,22,7/7
Kimpembe,3,PSG,22,1/7
Mendy,22,MCI,23,1/7
Pavard,2,VFB,22,6/7
Rami,17,OM,32,0/7
Sidibe,19,ASM,25,1/7
Umtiti,5,BAR,24,6/7
Varane,4,RMA,25,7/7
Fekir,18,OL,24,6/7
Kante,13,CHE,27,7/7
Matuidi,14,JUV,31,5/7
NZonzi,15,SEV,29,5/7
Pogba,6,MUN,25,6/7
Tolisso,12,FCB,23,5/7
Thauvin,20,OM,25,1/7
Dembele,11,BAR,21,4/7
Giroud,9,CHE,31,7/7
Griezmann,7,ATM,27,7/7
Mbappe,10,PSG,19,7/7
Lemar,8,ASM,22,1/7
